Data;Abertura;Fechamento;;
14/02/2000;309,63;304,41;;
15/02/2000;304,42;311,4;;
16/02/2000;311,4;306,6;;
17/02/2000;306,6;300,4;;
18/02/2000;300,4;290,03;;
21/02/2000;0;290,03;;
22/02/2000;290,3;294,69;;
23/02/2000;294,71;291,85;;
24/02/2000;294,71;287,76;;
25/02/2000;291,85;285,82;;
28/02/2000;285,82;295,04;;
29/02/2000;295,06;293,64;;
01/03/2000;0;293,64;;
02/03/2000;0;293,64;;
03/03/2000;0;293,64;;
06/03/2000;0;293,64;;
07/03/2000;291,28;282,26;;
08/03/2000;282,27;278,59;;
09/03/2000;278,61;281,94;;
10/03/2000;281,95;280,07;;
13/03/2000;0;280,07;;
14/03/2000;283,67;281,22;;
15/03/2000;281,21;303,24;;
16/03/2000;303,28;331,48;;
17/03/2000;331,47;329,32;;
20/03/2000;329,33;318,91;;
21/03/2000;318,92;333,11;;
22/03/2000;333,09;337,1;;
23/03/2000;337,12;348,48;;
24/03/2000;348,46;344,86;;
27/03/2000;344,86;340,34;;
28/03/2000;340,35;343,76;;
29/03/2000;340,35;338,29;;
30/03/2000;338,29;333,62;;
31/03/2000;333,62;343,44;;
03/04/2000;343,35;361,7;;
04/04/2000;362,81;351,86;;
05/04/2000;351,75;347,69;;
06/04/2000;347,69;345,35;;
07/04/2000;345,36;337,7;;
10/04/2000;337,71;342,78;;
11/04/2000;342,71;343,62;;
12/04/2000;343,52;352,94;;
13/04/2000;352,96;344,9;;
14/04/2000;344,89;321,74;;
17/04/2000;321,79;324,65;;
18/04/2000;321,79;334,73;;
19/04/2000;334,73;327,87;;
20/04/2000;327,88;331,83;;
21/04/2000;0;331,83;;
24/04/2000;331,82;336,75;;
25/04/2000;336,75;346,25;;
26/04/2000;346,25;339,01;;
27/04/2000;339;330,65;;
28/04/2000;330,65;323,37;;
01/05/2000;323,37;328,44;;
02/05/2000;328,45;328,44;;
03/05/2000;328,44;321,27;;
04/05/2000;321,27;315,31;;
05/05/2000;315,33;315,21;;
08/05/2000;315,19;322,91;;
09/05/2000;322,94;323,66;;
10/05/2000;323,66;318,53;;
11/05/2000;318,53;326,05;;
12/05/2000;326,05;332,84;;
15/05/2000;332,84;340,15;;
16/05/2000;340,15;335,99;;
17/05/2000;335,96;333,09;;
18/05/2000;333,09;338,54;;
19/05/2000;338,54;331;;
22/05/2000;331,03;337,23;;
23/05/2000;337,23;344,14;;
24/05/2000;344,11;352,86;;
25/05/2000;352,74;346,57;;
26/05/2000;346,32;349,19;;
29/05/2000;0;349,19;;
30/05/2000;349,03;353,13;;
31/05/2000;0;353,13;;
01/06/2000;355,17;365,17;;
02/06/2000;365,3;382,24;;
05/06/2000;382,22;369,34;;
06/06/2000;369,34;360,86;;
07/06/2000;360,79;365,57;;
08/06/2000;365,57;358,05;;
09/06/2000;358,03;348,72;;
12/06/2000;348,68;351,3;;
13/06/2000;351,28;350,17;;
14/06/2000;350,16;352,72;;
15/06/2000;352,72;334,84;;
16/06/2000;334,84;314,49;;
19/06/2000;314,5;324,38;;
20/06/2000;324,36;322,77;;
21/06/2000;322,73;315,43;;
22/06/2000;315,42;318,83;;
23/06/2000;318,83;318,32;;
26/06/2000;318,32;322,15;;
27/06/2000;322,14;322,58;;
28/06/2000;322,45;321,11;;
29/06/2000;321,11;316,97;;
30/06/2000;316,98;305,2;;
03/07/2000;304,98;318;;
04/07/2000;304,98;318;;
05/07/2000;317,98;321,12;;
06/07/2000;320,37;321,99;;
07/07/2000;322,01;330,86;;
10/07/2000;330,86;329,69;;
11/07/2000;329,72;330,19;;
12/07/2000;330,09;331,16;;
13/07/2000;331,11;327,46;;
14/07/2000;327,45;334,73;;
17/07/2000;334,73;331,08;;
18/07/2000;331,07;327,63;;
19/07/2000;327,63;329,59;;
20/07/2000;329,59;340,23;;
21/07/2000;340,22;335,28;;
24/07/2000;335,29;335,48;;
25/07/2000;335,46;336,33;;
26/07/2000;335,29;326,18;;
27/07/2000;326,18;328,69;;
28/07/2000;328,64;323,97;;
31/07/2000;323,93;326,6;;
01/08/2000;326,58;330,36;;
02/08/2000;330,37;330,2;;
03/08/2000;330,18;342,5;;
04/08/2000;0;342,5;;
07/08/2000;355,69;356,14;;
08/08/2000;356,07;356,18;;
09/08/2000;356,12;356,03;;
10/08/2000;356,02;356,94;;
11/08/2000;356,94;359,95;;
14/08/2000;359,95;363,67;;
15/08/2000;363,66;358,6;;
16/08/2000;358,6;352,79;;
17/08/2000;352,79;354,3;;
18/08/2000;354,3;351,74;;
21/08/2000;351,75;354,01;;
22/08/2000;354;361,1;;
23/08/2000;361,07;359,61;;
24/08/2000;359,59;357,11;;
25/08/2000;357,04;354,47;;
28/08/2000;354,47;355,26;;
29/08/2000;355;350,64;;
30/08/2000;349,94;353,7;;
31/08/2000;353,7;364,94;;
01/09/2000;364,94;360,85;;
04/09/2000;0;360,85;;
05/09/2000;360,85;363,02;;
06/09/2000;362,94;369,67;;
07/09/2000;369,66;371,7;;
08/09/2000;371,7;379,33;;
11/09/2000;379,29;382,48;;
12/09/2000;382,48;382,63;;
13/09/2000;382,41;379,93;;
14/09/2000;379,93;378,13;;
15/09/2000;378,12;371,81;;
