Data;Abertura;Fechamento;;
14/02/2000;147,59;151,04;;
15/02/2000;151,06;154,39;;
16/02/2000;154,34;155,65;;
17/02/2000;155,63;158,66;;
18/02/2000;158,66;154,73;;
21/02/2000;0;154,73;;
22/02/2000;156,38;155,32;;
23/02/2000;155,37;151,28;;
24/02/2000;155,37;148,36;;
25/02/2000;151,3;146,37;;
28/02/2000;146,37;146,32;;
29/02/2000;146,31;146,47;;
01/03/2000;0;146,47;;
02/03/2000;0;146,47;;
03/03/2000;0;146,47;;
06/03/2000;0;146,47;;
07/03/2000;143,37;143,01;;
08/03/2000;143,01;146,22;;
09/03/2000;146,15;145,39;;
10/03/2000;145,39;146,15;;
13/03/2000;0;146,15;;
14/03/2000;147,1;146,09;;
15/03/2000;146,22;151,95;;
16/03/2000;151,95;165,46;;
17/03/2000;165,57;165,14;;
20/03/2000;165,07;166,75;;
21/03/2000;166,73;166,43;;
22/03/2000;166,4;163,44;;
23/03/2000;163,47;169,42;;
24/03/2000;169,42;170,49;;
27/03/2000;170,52;168,03;;
28/03/2000;168,04;167,74;;
29/03/2000;168,04;167,07;;
30/03/2000;167,03;166,8;;
31/03/2000;166,78;167,69;;
03/04/2000;167,71;172,95;;
04/04/2000;172,95;168,56;;
05/04/2000;168,4;172,08;;
06/04/2000;172,09;171,38;;
07/04/2000;171,39;169,99;;
10/04/2000;169,99;171,08;;
11/04/2000;171,08;174,63;;
12/04/2000;174,63;180,24;;
13/04/2000;180,23;179,52;;
14/04/2000;179,52;171,93;;
17/04/2000;171,9;171,53;;
18/04/2000;171,9;170,61;;
19/04/2000;170,61;171,41;;
20/04/2000;171,43;172,16;;
21/04/2000;0;172,16;;
24/04/2000;172,16;171,8;;
25/04/2000;171,78;174,01;;
26/04/2000;174,03;174,12;;
27/04/2000;173,23;174,19;;
28/04/2000;174,23;174,45;;
01/05/2000;174,52;176,89;;
02/05/2000;176,91;176,19;;
03/05/2000;176,2;171,32;;
04/05/2000;171,31;171,33;;
05/05/2000;171,34;175,13;;
08/05/2000;175,13;173,31;;
09/05/2000;173,36;174,41;;
10/05/2000;174,36;171,44;;
11/05/2000;171,38;174,33;;
12/05/2000;174,32;175,29;;
15/05/2000;175,3;176,85;;
16/05/2000;176,83;179,61;;
17/05/2000;179,61;179,59;;
18/05/2000;179,6;176,08;;
19/05/2000;176,08;173,95;;
22/05/2000;173,96;174,25;;
23/05/2000;174,25;173,47;;
24/05/2000;173,29;169,11;;
25/05/2000;169,09;168,14;;
26/05/2000;168,13;164,54;;
29/05/2000;0;164,54;;
30/05/2000;164,54;167,67;;
31/05/2000;0;167,67;;
01/06/2000;166,23;169,21;;
02/06/2000;169,22;173,35;;
05/06/2000;173,4;172,55;;
06/06/2000;172,52;170,76;;
07/06/2000;170,79;166,19;;
08/06/2000;166,18;167,21;;
09/06/2000;167,27;167,74;;
12/06/2000;167,72;164,14;;
13/06/2000;164,27;163,58;;
14/06/2000;163,62;166,56;;
15/06/2000;166,57;165,55;;
16/06/2000;165,55;165,81;;
19/06/2000;165,74;164,43;;
20/06/2000;164,42;162,81;;
21/06/2000;162,81;161,58;;
22/06/2000;161,58;160,25;;
23/06/2000;160,25;158,74;;
26/06/2000;158,74;157,08;;
27/06/2000;157,1;159,81;;
28/06/2000;159,78;159,05;;
29/06/2000;159,03;157,78;;
30/06/2000;157,8;154,25;;
03/07/2000;154,25;160,01;;
04/07/2000;154,25;160,01;;
05/07/2000;160;160,96;;
06/07/2000;160,96;161,05;;
07/07/2000;161,05;160,28;;
10/07/2000;160,27;159,75;;
11/07/2000;159,76;161,11;;
12/07/2000;160,91;160,34;;
13/07/2000;160,34;160,43;;
14/07/2000;160,43;158,2;;
17/07/2000;158,2;158,93;;
18/07/2000;157,92;159,02;;
19/07/2000;159,02;158,73;;
20/07/2000;158,76;159,15;;
21/07/2000;159,17;158,61;;
24/07/2000;158,61;159,46;;
25/07/2000;159,38;159,53;;
26/07/2000;158,61;158,63;;
27/07/2000;158,69;157,58;;
28/07/2000;157,58;155,73;;
31/07/2000;155,73;156,73;;
01/08/2000;156,73;158,92;;
02/08/2000;158,89;159,71;;
03/08/2000;159,68;158,2;;
04/08/2000;0;158,2;;
07/08/2000;158,95;161,85;;
08/08/2000;161,86;168,16;;
09/08/2000;168,18;163,47;;
10/08/2000;163,5;162,25;;
11/08/2000;162,2;168,29;;
14/08/2000;168,32;167,2;;
15/08/2000;167,22;165,03;;
16/08/2000;164,94;165,34;;
17/08/2000;165,32;164,9;;
18/08/2000;164,9;163,88;;
21/08/2000;163,86;163,06;;
22/08/2000;163,06;162,12;;
23/08/2000;162,11;158,91;;
24/08/2000;158,92;156,91;;
25/08/2000;156,9;158,54;;
28/08/2000;158,55;157,8;;
29/08/2000;157,8;159,69;;
30/08/2000;159,66;158,75;;
31/08/2000;158,63;161,24;;
01/09/2000;161,26;160,98;;
04/09/2000;0;160,98;;
05/09/2000;160,98;159,83;;
06/09/2000;159,81;162,14;;
07/09/2000;162,16;160,69;;
08/09/2000;160,69;160,93;;
11/09/2000;160,93;161,73;;
12/09/2000;161,76;158,98;;
13/09/2000;158,99;157,38;;
14/09/2000;157,36;157,01;;
15/09/2000;157,01;154,95;;
18/09/2000;157,01;157,78;;
19/09/2000;149,68;149,01;;
20/09/2000;0;149,01;;
21/09/2000;148,99;145,22;;
22/09/2000;147,84;145,3;;
25/09/2000;145,16;145,6;;
26/09/2000;145,62;141,3;;
27/09/2000;141,31;142,28;;
28/09/2000;142,24;145,52;;
29/09/2000;145,54;149,71;;
02/10/2000;149,72;148,57;;
03/10/2000;148,6;149,96;;
04/10/2000;150;149,07;;
05/10/2000;149,07;140,75;;
06/10/2000;140,74;138,54;;
09/10/2000;138,54;140,46;;
10/10/2000;140,5;138,03;;
11/10/2000;137,71;136,89;;
12/10/2000;136,89;134,05;;
13/10/2000;134,04;135,36;;
16/10/2000;135,36;134,42;;
17/10/2000;134,42;132,08;;
18/10/2000;131,91;131,08;;
19/10/2000;131,14;134,8;;
20/10/2000;0;134,8;;
23/10/2000;134,61;134,8;;
24/10/2000;0;134,8;;
25/10/2000;138,68;135,43;;
26/10/2000;135,43;135,82;;
27/10/2000;135,87;136,95;;
30/10/2000;0;136,95;;
31/10/2000;141,5;146,98;;
01/11/2000;146,96;146,21;;
02/11/2000;146,23;148,56;;
03/11/2000;148,52;148,54;;
06/11/2000;148,44;149,23;;
07/11/2000;149,26;148,98;;
08/11/2000;149,01;150,43;;
09/11/2000;150,43;148,15;;
10/11/2000;147,69;145,24;;
13/11/2000;145,34;146,11;;
14/11/2000;0;146,11;;
15/11/2000;148,05;147,58;;
16/11/2000;147,56;147,21;;
17/11/2000;147,13;147,13;;
20/11/2000;147,05;146,68;;
21/11/2000;146,7;146,49;;
22/11/2000;146,8;146,17;;
23/11/2000;0;146,17;;
24/11/2000;146,21;148,12;;
27/11/2000;148,04;151,8;;
28/11/2000;151,8;149,69;;
29/11/2000;149,69;148,05;;
30/11/2000;148,01;148,39;;
01/12/2000;148,37;152,42;;
04/12/2000;152,39;158,18;;
05/12/2000;158,23;164,71;;
06/12/2000;164,71;160,9;;
07/12/2000;160,92;160,58;;
08/12/2000;160,58;161,94;;
11/12/2000;162,04;160,99;;
12/12/2000;160,99;159,9;;
13/12/2000;159,92;156,27;;
14/12/2000;156,3;153,36;;
15/12/2000;153,36;151,5;;
18/12/2000;151,56;155,76;;
19/12/2000;155,78;155,02;;
20/12/2000;154,96;156,37;;
21/12/2000;156,36;161,19;;
22/12/2000;161,17;169,08;;
25/12/2000;161,17;169,08;;
26/12/2000;169,06;172,05;;
27/12/2000;171,99;174,61;;
28/12/2000;174,75;178,7;;
29/12/2000;178,76;179,28;;
01/01/2001;0;179,28;;
02/01/2001;179,33;173,21;;
03/01/2001;173,2;178,73;;
04/01/2001;178,68;182,15;;
05/01/2001;182,15;177,38;;
08/01/2001;177,31;168,67;;
09/01/2001;168,67;168,7;;
10/01/2001;168,7;168,29;;
11/01/2001;168,35;168,57;;
12/01/2001;168,48;170,32;;
15/01/2001;168,48;170,32;;
16/01/2001;170,32;172,69;;
17/01/2001;172,69;173,64;;
18/01/2001;173,62;169,85;;
19/01/2001;169,78;166,54;;
22/01/2001;166,54;165,2;;
23/01/2001;165,21;170,01;;
24/01/2001;170,02;171,43;;
25/01/2001;171,43;172,42;;
26/01/2001;172,41;169,08;;
29/01/2001;169,05;170,22;;
30/01/2001;170,22;170,54;;
31/01/2001;170,54;173,56;;
01/02/2001;173,56;176,31;;
02/02/2001;176,31;175,45;;
05/02/2001;175,45;175,66;;
06/02/2001;175,66;173,53;;
07/02/2001;173,53;175,27;;
08/02/2001;175,31;174,8;;
09/02/2001;174,8;174,78;;
12/02/2001;174,56;175,63;;
13/02/2001;175,63;177,53;;
14/02/2001;177,53;175,58;;
15/02/2001;176,12;177,62;;
16/02/2001;177,59;173,8;;
19/02/2001;177,59;173,8;;
20/02/2001;173,8;172,18;;
21/02/2001;172,17;169,48;;
22/02/2001;169,48;168,79;;
23/02/2001;168,79;167,46;;
26/02/2001;167,45;174,22;;
27/02/2001;174,19;174,16;;
28/02/2001;174,16;173,65;;
01/03/2001;173,65;174,78;;
02/03/2001;174,93;177,17;;
05/03/2001;177,17;181,57;;
06/03/2001;181,58;179,65;;
