Data;Abertura;Fechamento;;
14/02/2000;202,83;207,91;;
15/02/2000;207,91;216,39;;
16/02/2000;216,39;217,09;;
17/02/2000;217,09;215,09;;
18/02/2000;215,08;210,25;;
21/02/2000;0;210,25;;
22/02/2000;211,27;208,22;;
23/02/2000;208,22;204,5;;
24/02/2000;208,22;202,72;;
25/02/2000;204,5;200,07;;
28/02/2000;200,06;206,44;;
29/02/2000;206,44;212,85;;
01/03/2000;0;212,85;;
02/03/2000;0;212,85;;
03/03/2000;0;212,85;;
06/03/2000;0;212,85;;
07/03/2000;217,12;235,03;;
08/03/2000;235,02;228,59;;
09/03/2000;228,59;230,27;;
10/03/2000;230,27;225,62;;
13/03/2000;0;225,62;;
14/03/2000;222,53;224,43;;
15/03/2000;224,41;224,1;;
16/03/2000;224,1;231,79;;
17/03/2000;231,78;225,97;;
20/03/2000;225,96;220,04;;
21/03/2000;220,61;227,05;;
22/03/2000;227,04;226,37;;
23/03/2000;226,36;226,78;;
24/03/2000;226,79;229,35;;
27/03/2000;229,35;228,74;;
28/03/2000;228,74;226,95;;
29/03/2000;228,74;239,65;;
30/03/2000;239,65;239,48;;
31/03/2000;239,49;238,71;;
03/04/2000;238,71;244;;
04/04/2000;243,27;241,66;;
05/04/2000;241,65;234,29;;
06/04/2000;234,28;239,04;;
07/04/2000;239,04;235,34;;
10/04/2000;235,35;229,94;;
11/04/2000;229,94;234,62;;
12/04/2000;234,61;237,61;;
13/04/2000;237,61;235,5;;
14/04/2000;235,49;230,51;;
17/04/2000;230,58;223,55;;
18/04/2000;230,58;228,76;;
19/04/2000;229;231,89;;
20/04/2000;231,9;234,96;;
21/04/2000;0;234,96;;
24/04/2000;234,96;236,27;;
25/04/2000;236,26;237,89;;
26/04/2000;237,89;238,32;;
27/04/2000;238,32;242,17;;
28/04/2000;242,17;236,45;;
01/05/2000;236,45;238,03;;
02/05/2000;238,04;241,77;;
03/05/2000;241,77;236;;
04/05/2000;236;242,24;;
05/05/2000;242,25;245,34;;
08/05/2000;245,28;248,17;;
09/05/2000;248,17;246,83;;
10/05/2000;246,83;248,48;;
11/05/2000;247,9;254,71;;
12/05/2000;254,71;255,71;;
15/05/2000;0;255,71;;
16/05/2000;260,93;257,8;;
17/05/2000;257,63;257,56;;
18/05/2000;257,55;255,1;;
19/05/2000;255,09;255,65;;
22/05/2000;255,65;254,39;;
23/05/2000;254,39;254,73;;
24/05/2000;254,74;254,36;;
25/05/2000;254,35;251,36;;
26/05/2000;251,35;250,98;;
29/05/2000;0;250,98;;
30/05/2000;250,96;253,91;;
31/05/2000;0;253,91;;
01/06/2000;259,02;257,45;;
02/06/2000;257,46;246,26;;
05/06/2000;246,23;243,56;;
06/06/2000;243,55;252,9;;
07/06/2000;252,83;250,48;;
08/06/2000;250,48;250,8;;
09/06/2000;250,83;248;;
12/06/2000;248;253,97;;
13/06/2000;253,97;254,53;;
14/06/2000;254,52;256,34;;
15/06/2000;256,34;253,72;;
16/06/2000;253,69;259,13;;
19/06/2000;259,13;256,18;;
20/06/2000;256,18;254,17;;
21/06/2000;254,16;259,28;;
22/06/2000;259,29;254,18;;
23/06/2000;254,17;254,78;;
26/06/2000;254,78;253,2;;
27/06/2000;253,26;250,86;;
28/06/2000;250,87;249,14;;
29/06/2000;249,14;249,83;;
30/06/2000;249,83;244,95;;
03/07/2000;244,95;247,35;;
04/07/2000;244,95;247,35;;
05/07/2000;247,35;236,05;;
06/07/2000;236,06;239,15;;
07/07/2000;239,14;239,72;;
10/07/2000;239,72;238,51;;
11/07/2000;238,51;249,34;;
12/07/2000;249,34;245,04;;
13/07/2000;245,04;243,02;;
14/07/2000;243,01;242,5;;
17/07/2000;242,5;239,95;;
18/07/2000;239,95;241,93;;
19/07/2000;241,95;242,6;;
20/07/2000;242,6;240,21;;
21/07/2000;240,21;234,94;;
24/07/2000;234,95;230,23;;
25/07/2000;230,24;228,46;;
26/07/2000;234,95;229,86;;
27/07/2000;229,86;239,45;;
28/07/2000;239,44;239,53;;
31/07/2000;239,53;238,87;;
01/08/2000;238,87;241,3;;
02/08/2000;241,3;247,36;;
03/08/2000;247,32;244,2;;
04/08/2000;0;244,2;;
07/08/2000;245,95;247,46;;
08/08/2000;247,41;248,16;;
09/08/2000;248,15;252,2;;
10/08/2000;251,66;253,54;;
11/08/2000;253,54;252,36;;
14/08/2000;252,34;257,86;;
15/08/2000;257,86;255,2;;
16/08/2000;255,01;260,56;;
17/08/2000;260,56;264,9;;
18/08/2000;264,91;261,39;;
21/08/2000;261,39;262,44;;
22/08/2000;262,43;262,02;;
23/08/2000;261,99;268,31;;
24/08/2000;268,31;262,89;;
25/08/2000;262,89;263,47;;
28/08/2000;263,47;265,14;;
29/08/2000;265,13;264,6;;
30/08/2000;264,56;261,19;;
31/08/2000;261,19;261,48;;
01/09/2000;261,43;264,44;;
04/09/2000;0;264,44;;
05/09/2000;264,44;264,78;;
06/09/2000;264,74;270,7;;
07/09/2000;270,68;269,45;;
08/09/2000;269,45;266,64;;
11/09/2000;266,63;273,56;;
12/09/2000;273,56;273,95;;
13/09/2000;273,93;271,1;;
14/09/2000;271,09;269,74;;
15/09/2000;269,74;278,81;;
18/09/2000;269,74;275,54;;
19/09/2000;276,89;270,4;;
20/09/2000;0;270,4;;
21/09/2000;270,41;262,4;;
22/09/2000;266,25;259,75;;
25/09/2000;259,75;258,5;;
26/09/2000;258,5;262,74;;
27/09/2000;262,74;269,46;;
28/09/2000;269,46;268,43;;
29/09/2000;268,43;270,33;;
02/10/2000;270,33;275,9;;
03/10/2000;275,9;274,34;;
04/10/2000;274,34;267,12;;
05/10/2000;267,1;266,21;;
06/10/2000;266,21;264,71;;
09/10/2000;264,71;269,78;;
10/10/2000;269,78;276,51;;
11/10/2000;276,51;278,78;;
12/10/2000;278,78;282,34;;
13/10/2000;282,33;272,39;;
16/10/2000;272,39;267,21;;
17/10/2000;267,22;267,82;;
18/10/2000;267,82;265,19;;
19/10/2000;265,19;265,34;;
20/10/2000;0;265,34;;
23/10/2000;270,83;268,08;;
24/10/2000;0;268,08;;
25/10/2000;261,35;256,84;;
26/10/2000;256,81;258,44;;
27/10/2000;258,45;254,81;;
30/10/2000;0;254,81;;
31/10/2000;259,71;261,17;;
01/11/2000;261,18;269,99;;
02/11/2000;269,98;261,45;;
03/11/2000;261,45;260,07;;
06/11/2000;260,06;261,63;;
07/11/2000;261,63;262,93;;
08/11/2000;262,9;266,71;;
09/11/2000;266,17;263,79;;
10/11/2000;263,79;262,17;;
13/11/2000;262,17;259,93;;
14/11/2000;0;259,93;;
15/11/2000;262,51;267,89;;
16/11/2000;267,88;268,82;;
17/11/2000;268,81;266,44;;
20/11/2000;266,44;266,05;;
21/11/2000;266,05;270,53;;
22/11/2000;270,53;269,53;;
23/11/2000;0;269,53;;
24/11/2000;269,53;271,68;;
27/11/2000;271,68;269,72;;
28/11/2000;269,69;268,63;;
29/11/2000;268,61;255,69;;
30/11/2000;255,69;248,62;;
01/12/2000;248,62;253,73;;
04/12/2000;253,75;258,1;;
05/12/2000;258,1;253,94;;
06/12/2000;253,87;250,61;;
07/12/2000;250,61;254,1;;
08/12/2000;253,94;256,03;;
11/12/2000;256,03;256,43;;
12/12/2000;256,43;258,78;;
13/12/2000;258,78;259,8;;
14/12/2000;259,79;252,06;;
15/12/2000;252,05;252,1;;
18/12/2000;252,08;262,53;;
19/12/2000;262,54;265,67;;
20/12/2000;265,67;258,52;;
21/12/2000;258,48;258,26;;
22/12/2000;258,26;262,98;;
25/12/2000;258,26;262,98;;
26/12/2000;262,98;273,66;;
27/12/2000;273,66;273,7;;
28/12/2000;273,7;276,23;;
29/12/2000;276,23;272,96;;
01/01/2001;0;272,96;;
02/01/2001;272,96;275,37;;
03/01/2001;275,37;264,41;;
04/01/2001;264,41;256,05;;
05/01/2001;256,05;259,06;;
08/01/2001;259,06;259,74;;
09/01/2001;259,74;257,25;;
10/01/2001;257,25;257,77;;
11/01/2001;257,77;260,17;;
12/01/2001;260,22;260,87;;
15/01/2001;260,22;260,87;;
16/01/2001;260,87;261,39;;
17/01/2001;261,39;254,93;;
18/01/2001;254,93;248,76;;
19/01/2001;248,76;249,29;;
22/01/2001;249,3;251,71;;
23/01/2001;251,71;256,11;;
24/01/2001;256,11;257,02;;
25/01/2001;257,02;263,55;;
26/01/2001;263,55;259,49;;
29/01/2001;259,49;256,79;;
30/01/2001;256,79;259,12;;
31/01/2001;259,12;263,07;;
01/02/2001;263,07;260,54;;
02/02/2001;260,54;262,5;;
05/02/2001;262,5;267,87;;
06/02/2001;267,87;270,78;;
07/02/2001;270,78;271,71;;
08/02/2001;271,71;271,93;;
09/02/2001;271,93;275,77;;
12/02/2001;275,77;273,37;;
13/02/2001;273,37;271,7;;
14/02/2001;271,7;270,68;;
15/02/2001;270,68;266,27;;
16/02/2001;266,27;269,34;;
19/02/2001;266,27;269,34;;
20/02/2001;269,33;269,33;;
21/02/2001;269,33;267,23;;
22/02/2001;267,23;265,94;;
23/02/2001;265,94;263;;
26/02/2001;263;266,43;;
27/02/2001;266,43;264,83;;
28/02/2001;264,83;261,24;;
01/03/2001;261,2;263,12;;
02/03/2001;263,12;269,78;;
05/03/2001;269,77;273,11;;
06/03/2001;273,11;274,29;;
07/03/2001;274,29;280,08;;
08/03/2001;280,09;283,48;;
09/03/2001;283,48;282,52;;
12/03/2001;282,52;275,53;;
