Data;Abertura;Fechamento;;
14/02/2000;299,45;303,39;;
15/02/2000;303,4;306,98;;
16/02/2000;306,99;305,36;;
17/02/2000;305,37;301,23;;
18/02/2000;301,23;292,29;;
21/02/2000;0;292,29;;
22/02/2000;292,26;297,26;;
23/02/2000;297,3;294,3;;
24/02/2000;297,3;288,16;;
25/02/2000;294,34;281,56;;
28/02/2000;281,56;283,36;;
29/02/2000;283,38;284,07;;
01/03/2000;0;284,07;;
02/03/2000;0;284,07;;
03/03/2000;0;284,07;;
06/03/2000;0;284,07;;
07/03/2000;271,31;256,23;;
08/03/2000;256,33;273,12;;
09/03/2000;273,12;291,54;;
10/03/2000;291,56;291,31;;
13/03/2000;0;291,31;;
14/03/2000;282,78;276,67;;
15/03/2000;276,76;294,94;;
16/03/2000;294,96;310,59;;
17/03/2000;310,6;301,13;;
20/03/2000;301,13;298,83;;
21/03/2000;298,77;305,78;;
22/03/2000;305,79;307,12;;
23/03/2000;307,11;304,91;;
24/03/2000;304,93;295,48;;
27/03/2000;295,49;291,31;;
28/03/2000;291,24;292,94;;
29/03/2000;291,24;301,13;;
30/03/2000;301,12;299,88;;
31/03/2000;299,88;301,33;;
03/04/2000;301,48;315,63;;
04/04/2000;315,55;327,28;;
05/04/2000;327,06;323,54;;
06/04/2000;323,57;315,62;;
07/04/2000;315,62;314,73;;
10/04/2000;314,72;320,97;;
11/04/2000;320,93;328,06;;
12/04/2000;328,04;325,5;;
13/04/2000;325,5;326,39;;
14/04/2000;326,37;315,21;;
17/04/2000;315,2;320,98;;
18/04/2000;315,2;330,02;;
19/04/2000;330,14;330,54;;
20/04/2000;330,57;330,33;;
21/04/2000;0;330,33;;
24/04/2000;330,34;338,22;;
25/04/2000;338,28;340,25;;
26/04/2000;340,25;337,52;;
27/04/2000;337,5;336,9;;
28/04/2000;336,92;332,4;;
01/05/2000;332,42;330,57;;
02/05/2000;330,57;335,3;;
03/05/2000;335,3;332,27;;
04/05/2000;332,33;333,04;;
05/05/2000;333,04;344,71;;
08/05/2000;344,71;352,44;;
09/05/2000;352,48;347,63;;
10/05/2000;347,62;341,93;;
11/05/2000;341,84;336,41;;
12/05/2000;336,4;338,63;;
15/05/2000;338,64;344,82;;
16/05/2000;344,82;347,78;;
17/05/2000;347,73;347,21;;
18/05/2000;347,21;349,97;;
19/05/2000;349,73;351,61;;
22/05/2000;351,61;347,96;;
23/05/2000;347,97;351,21;;
24/05/2000;351,2;354,34;;
25/05/2000;354,35;356,15;;
26/05/2000;356,16;354,25;;
29/05/2000;0;354,25;;
30/05/2000;354,24;352,17;;
31/05/2000;0;352,17;;
01/06/2000;353,11;350,98;;
02/06/2000;350,99;337,14;;
05/06/2000;337,12;335,53;;
06/06/2000;335,56;339,73;;
07/06/2000;339,75;340,51;;
08/06/2000;340,51;341,08;;
09/06/2000;341,08;344,39;;
12/06/2000;344,38;342,69;;
13/06/2000;342,69;354,26;;
14/06/2000;354,27;360,36;;
15/06/2000;360,37;362,49;;
16/06/2000;362,51;362,84;;
19/06/2000;362,84;365,55;;
20/06/2000;365,55;360,68;;
21/06/2000;360,68;366,7;;
22/06/2000;366,7;357,96;;
23/06/2000;357,97;361;;
26/06/2000;361;368,09;;
27/06/2000;368,09;371,85;;
28/06/2000;371,85;369,79;;
29/06/2000;369,79;378,85;;
30/06/2000;378,81;385,23;;
03/07/2000;385,22;383,93;;
04/07/2000;385,22;383,93;;
05/07/2000;383,94;386,92;;
06/07/2000;386,9;381,76;;
07/07/2000;381,77;379,73;;
10/07/2000;379,71;388,11;;
11/07/2000;388,11;391,69;;
12/07/2000;391,69;382,41;;
13/07/2000;382,41;365,29;;
14/07/2000;365,31;357,87;;
17/07/2000;357,82;367,12;;
18/07/2000;367,08;362,15;;
19/07/2000;362,15;358,14;;
20/07/2000;358,18;351,1;;
21/07/2000;351,11;354,47;;
24/07/2000;354,48;366,57;;
25/07/2000;366,57;357,76;;
26/07/2000;354,48;353,36;;
27/07/2000;353,36;361,23;;
28/07/2000;361,23;361,74;;
31/07/2000;361,49;357,07;;
01/08/2000;357,07;371,53;;
02/08/2000;371,53;375,51;;
03/08/2000;375,5;376,53;;
04/08/2000;0;376,53;;
07/08/2000;373,63;370,39;;
08/08/2000;370,4;371,31;;
09/08/2000;371,2;346,95;;
10/08/2000;346,99;349,57;;
11/08/2000;349,45;353;;
14/08/2000;353;351,83;;
15/08/2000;351,83;351,23;;
16/08/2000;351,04;354,69;;
17/08/2000;354,67;357,43;;
18/08/2000;357,28;349,2;;
21/08/2000;349,2;354;;
22/08/2000;354;352,23;;
23/08/2000;352,22;354,2;;
24/08/2000;354,25;354,8;;
25/08/2000;354,8;356,8;;
28/08/2000;356,8;351,91;;
29/08/2000;351,91;347,43;;
30/08/2000;347,17;347,21;;
31/08/2000;347,15;347,89;;
01/09/2000;347,92;348,88;;
04/09/2000;0;348,88;;
05/09/2000;348,88;339,25;;
06/09/2000;339,25;330,61;;
07/09/2000;328,47;336,2;;
08/09/2000;336,2;337,14;;
11/09/2000;337,14;339,04;;
12/09/2000;339,03;341,89;;
13/09/2000;341,89;345,51;;
14/09/2000;345,51;345,53;;
15/09/2000;345,53;343,79;;
18/09/2000;345,53;340,11;;
19/09/2000;343,74;344,17;;
20/09/2000;0;344,17;;
21/09/2000;344,17;357,74;;
22/09/2000;344,72;368,23;;
25/09/2000;368,24;366,44;;
26/09/2000;366,44;362,91;;
27/09/2000;362,91;362,23;;
28/09/2000;362,23;366,39;;
29/09/2000;366,39;369,49;;
02/10/2000;369,5;365,15;;
03/10/2000;365,1;364,58;;
04/10/2000;364,42;358,87;;
05/10/2000;358,87;368,88;;
06/10/2000;368,88;367,85;;
09/10/2000;367,85;363,11;;
10/10/2000;363,11;373,38;;
11/10/2000;373,39;373,72;;
12/10/2000;373,72;376,54;;
13/10/2000;376,55;370,01;;
16/10/2000;370,03;376,83;;
17/10/2000;376,89;381,68;;
18/10/2000;381,67;375,48;;
19/10/2000;374,48;369,89;;
20/10/2000;0;369,89;;
23/10/2000;374,02;385,91;;
24/10/2000;0;385,91;;
25/10/2000;380,77;390,89;;
26/10/2000;390,89;388,68;;
27/10/2000;388,68;384,35;;
30/10/2000;0;384,35;;
31/10/2000;385,83;384,66;;
01/11/2000;384,59;388,16;;
02/11/2000;388,1;385,64;;
03/11/2000;385,62;383,43;;
06/11/2000;383,44;389,64;;
07/11/2000;389,65;385,73;;
08/11/2000;385,73;394,48;;
09/11/2000;394,4;392,24;;
10/11/2000;392,24;393,22;;
13/11/2000;393,08;378,33;;
14/11/2000;0;378,33;;
15/11/2000;386,42;387,9;;
16/11/2000;387,9;385,58;;
17/11/2000;385,58;386,89;;
20/11/2000;386,88;388,58;;
21/11/2000;388,58;393,89;;
22/11/2000;393,89;388,57;;
23/11/2000;0;388,57;;
24/11/2000;388,57;384,51;;
27/11/2000;384,52;399,06;;
28/11/2000;399,06;402,55;;
29/11/2000;402,55;409,92;;
