Data;Abertura;Fechamento;;
14/02/2000;159,5;162,28;;
15/02/2000;162,28;168,85;;
16/02/2000;168,85;165,2;;
17/02/2000;165,23;164,18;;
18/02/2000;164,16;160,15;;
21/02/2000;0;160,15;;
22/02/2000;160,11;167,83;;
23/02/2000;167,83;164,69;;
24/02/2000;167,83;160,96;;
25/02/2000;164,69;157,71;;
28/02/2000;157,71;158,73;;
29/02/2000;158,74;157,49;;
01/03/2000;0;157,49;;
02/03/2000;0;157,49;;
03/03/2000;0;157,49;;
06/03/2000;0;157,49;;
07/03/2000;153,44;144,27;;
08/03/2000;144,29;146,62;;
09/03/2000;146,62;146,05;;
10/03/2000;146,04;146,93;;
13/03/2000;0;146,93;;
14/03/2000;150;148,57;;
15/03/2000;148,58;159,08;;
16/03/2000;159,13;168,08;;
17/03/2000;168,07;162,51;;
20/03/2000;162,48;166,43;;
21/03/2000;166,43;166,57;;
22/03/2000;166,57;161,61;;
23/03/2000;161,62;165,79;;
24/03/2000;165,77;166,45;;
27/03/2000;166,44;164,56;;
28/03/2000;164,57;163,37;;
29/03/2000;164,57;164,88;;
30/03/2000;164,84;169,96;;
31/03/2000;169,96;169,64;;
03/04/2000;169,62;176,4;;
04/04/2000;176,37;176,12;;
05/04/2000;176,08;174,41;;
06/04/2000;174,41;174,35;;
07/04/2000;174,38;172,06;;
10/04/2000;171,96;175,29;;
11/04/2000;175,29;180,28;;
12/04/2000;180,27;185,91;;
13/04/2000;185,91;180,33;;
14/04/2000;180,33;170,17;;
17/04/2000;170,16;171,15;;
18/04/2000;170,16;166,66;;
19/04/2000;166,67;162,17;;
20/04/2000;162,19;166,39;;
21/04/2000;0;166,39;;
24/04/2000;166,18;169,42;;
25/04/2000;169,42;165,27;;
26/04/2000;165,26;161,44;;
27/04/2000;161,44;161,73;;
28/04/2000;161,73;163,58;;
01/05/2000;163,58;164,95;;
02/05/2000;164,94;168,86;;
03/05/2000;168,85;166,26;;
04/05/2000;166,24;169,37;;
05/05/2000;169,37;171,69;;
08/05/2000;171,67;169,63;;
09/05/2000;169,62;169,62;;
10/05/2000;169,62;167,31;;
11/05/2000;166,95;171,69;;
12/05/2000;171,69;171,08;;
15/05/2000;171,06;174,98;;
16/05/2000;174,99;173,79;;
17/05/2000;173,8;172,17;;
18/05/2000;172,16;172,05;;
19/05/2000;172,05;171,24;;
22/05/2000;171,24;171,58;;
23/05/2000;171,64;171,26;;
24/05/2000;171,26;170,05;;
25/05/2000;170,05;163,66;;
26/05/2000;163,66;161,49;;
29/05/2000;0;161,49;;
30/05/2000;161,47;164,03;;
31/05/2000;0;164,03;;
01/06/2000;161,62;162,47;;
02/06/2000;162,47;164,66;;
05/06/2000;164,45;163,79;;
06/06/2000;163,78;162,04;;
07/06/2000;162,04;161,08;;
08/06/2000;161,08;160,01;;
09/06/2000;160,01;160,28;;
12/06/2000;160,28;161,03;;
13/06/2000;161,02;157,75;;
14/06/2000;157,76;160,8;;
15/06/2000;161,03;161,23;;
16/06/2000;161,07;160,56;;
19/06/2000;160,56;157,2;;
20/06/2000;157,2;154,25;;
21/06/2000;154,25;153,67;;
22/06/2000;153,67;153,06;;
23/06/2000;153,07;152,71;;
26/06/2000;152,72;150,6;;
27/06/2000;150,6;155,98;;
28/06/2000;155,76;155,47;;
29/06/2000;155,38;152,71;;
30/06/2000;152,73;149,77;;
03/07/2000;149,78;154,63;;
04/07/2000;149,78;154,63;;
05/07/2000;154,63;155,74;;
06/07/2000;155,74;151,53;;
07/07/2000;151,53;149,57;;
10/07/2000;149,57;152,1;;
11/07/2000;152,1;158,06;;
12/07/2000;158,1;156,12;;
13/07/2000;156,11;158;;
14/07/2000;158,01;154,65;;
17/07/2000;154,65;150,14;;
18/07/2000;150,14;149,37;;
19/07/2000;149,37;148,11;;
20/07/2000;148,16;147,35;;
21/07/2000;147,36;147,57;;
24/07/2000;147,56;145,83;;
25/07/2000;145,84;146,7;;
26/07/2000;147,56;145,62;;
27/07/2000;145,65;146,79;;
28/07/2000;146,79;146,95;;
31/07/2000;146,96;146,83;;
01/08/2000;146,88;146,47;;
02/08/2000;146,46;146,53;;
03/08/2000;146,52;146,68;;
04/08/2000;0;146,68;;
07/08/2000;145,99;149,84;;
08/08/2000;149,82;152,25;;
09/08/2000;152,25;152,24;;
10/08/2000;152,24;149,54;;
11/08/2000;149,14;154,57;;
14/08/2000;154,51;154,79;;
15/08/2000;154,8;155,01;;
16/08/2000;155,01;155,71;;
17/08/2000;155,7;156,34;;
18/08/2000;156,34;154,24;;
21/08/2000;154,23;153,92;;
22/08/2000;153,92;153,36;;
23/08/2000;153,34;151,47;;
24/08/2000;151,46;151,15;;
25/08/2000;150,73;150,78;;
28/08/2000;150,99;149,97;;
29/08/2000;149,97;148,73;;
30/08/2000;148,71;147,44;;
