Data;Abertura;Fechamento;;
14/02/2000;252,49;249,41;;
15/02/2000;249,41;253,78;;
16/02/2000;253,78;250,46;;
17/02/2000;250,47;248,92;;
18/02/2000;248,91;242,01;;
21/02/2000;0;242,01;;
22/02/2000;243,66;240,31;;
23/02/2000;240,31;237,64;;
24/02/2000;240,31;231,93;;
25/02/2000;237,64;230,99;;
28/02/2000;231,07;236,58;;
29/02/2000;236,63;237,91;;
01/03/2000;0;237,91;;
02/03/2000;0;237,91;;
03/03/2000;0;237,91;;
06/03/2000;0;237,91;;
07/03/2000;229,2;222,05;;
08/03/2000;222,07;221,53;;
09/03/2000;221,54;223,14;;
10/03/2000;223,13;222,41;;
13/03/2000;0;222,41;;
14/03/2000;224,86;225,05;;
15/03/2000;225,07;240,41;;
16/03/2000;240,44;262,49;;
17/03/2000;262,49;255,61;;
20/03/2000;255,64;255,69;;
21/03/2000;256,95;265,04;;
22/03/2000;265,03;264,32;;
23/03/2000;264,35;275,34;;
24/03/2000;275,34;282,65;;
27/03/2000;282,65;274;;
28/03/2000;274;275,95;;
29/03/2000;274;279,92;;
30/03/2000;279,92;289,16;;
31/03/2000;289,21;293,16;;
03/04/2000;293,16;303,74;;
04/04/2000;303,74;297,62;;
05/04/2000;297,54;290,01;;
06/04/2000;290;290,55;;
07/04/2000;290,55;284,79;;
10/04/2000;284,75;291,49;;
11/04/2000;291,49;295,4;;
12/04/2000;295,36;296,41;;
13/04/2000;296,42;292,99;;
14/04/2000;292,99;271,04;;
17/04/2000;271,04;268,57;;
18/04/2000;271,04;275,35;;
19/04/2000;275,32;318,19;;
20/04/2000;271,42;279,85;;
21/04/2000;0;279,85;;
24/04/2000;279,84;287,1;;
25/04/2000;287,05;295,82;;
26/04/2000;295,79;290,88;;
27/04/2000;290,89;283,53;;
28/04/2000;283,57;288,34;;
01/05/2000;288,34;292,19;;
02/05/2000;292,18;293,63;;
03/05/2000;293,57;285,04;;
04/05/2000;285,05;287,47;;
05/05/2000;287,52;289,79;;
08/05/2000;289,8;295,45;;
09/05/2000;295,46;293,33;;
10/05/2000;293,34;292,8;;
11/05/2000;292,78;297,26;;
12/05/2000;297,26;299,37;;
15/05/2000;299,29;312,3;;
16/05/2000;312,31;314,82;;
17/05/2000;314,81;306,15;;
18/05/2000;306,15;310,71;;
19/05/2000;310,7;305,54;;
22/05/2000;305,53;314,28;;
23/05/2000;314,25;309,28;;
24/05/2000;309,3;315,42;;
25/05/2000;315,43;309,99;;
26/05/2000;309,89;308,47;;
29/05/2000;0;308,47;;
30/05/2000;308,4;312,4;;
31/05/2000;0;312,4;;
01/06/2000;309,97;320,07;;
02/06/2000;320,07;323,63;;
05/06/2000;323,63;316,51;;
06/06/2000;316,5;314,49;;
07/06/2000;314,46;321,01;;
08/06/2000;321;317,31;;
09/06/2000;317,33;313,63;;
12/06/2000;313,62;315,84;;
13/06/2000;315,82;320,96;;
14/06/2000;320,94;318,83;;
15/06/2000;318,84;318,73;;
16/06/2000;318,73;307,97;;
19/06/2000;307,97;309,19;;
20/06/2000;309,19;301,69;;
21/06/2000;301,66;301,88;;
22/06/2000;301,89;299,72;;
23/06/2000;299,72;303,95;;
26/06/2000;303,97;303,5;;
27/06/2000;303,49;308,05;;
28/06/2000;307,99;309,61;;
29/06/2000;309,61;311,94;;
30/06/2000;311,94;301,73;;
03/07/2000;301,74;306,74;;
04/07/2000;301,74;306,74;;
05/07/2000;306,74;310,94;;
06/07/2000;310,94;309,96;;
07/07/2000;309,96;315,72;;
10/07/2000;315,73;315,39;;
11/07/2000;315,39;315,38;;
12/07/2000;315,39;318,62;;
13/07/2000;318,62;315,97;;
14/07/2000;315,97;318,37;;
17/07/2000;318,37;314,08;;
18/07/2000;314,09;312,99;;
19/07/2000;312,98;312,49;;
20/07/2000;312,49;319,09;;
21/07/2000;319,06;311,24;;
24/07/2000;311,25;312,49;;
25/07/2000;312,5;323,4;;
26/07/2000;311,25;329,26;;
27/07/2000;329,27;339,25;;
28/07/2000;339,18;334,54;;
31/07/2000;334,55;338,54;;
01/08/2000;338,54;340,57;;
02/08/2000;340,55;335,93;;
03/08/2000;335,92;340,1;;
04/08/2000;0;340,1;;
07/08/2000;349,09;351,8;;
08/08/2000;351,78;353,84;;
09/08/2000;353,79;349,42;;
10/08/2000;349,42;346,08;;
11/08/2000;346,09;350,92;;
14/08/2000;350,91;354,33;;
15/08/2000;354,3;349,94;;
16/08/2000;349,99;346,48;;
17/08/2000;346,49;350,29;;
18/08/2000;350,26;347,83;;
21/08/2000;347,84;352,04;;
22/08/2000;352,04;351,65;;
23/08/2000;351,62;347,6;;
24/08/2000;347,6;343,82;;
25/08/2000;343,82;342,31;;
28/08/2000;342,31;346,95;;
29/08/2000;346,85;346,38;;
30/08/2000;346,27;353,39;;
31/08/2000;353,37;357,73;;
01/09/2000;357,71;354,55;;
04/09/2000;0;354,55;;
05/09/2000;354,56;356,52;;
06/09/2000;356,5;357,49;;
07/09/2000;357,49;355,89;;
08/09/2000;355,9;363,24;;
11/09/2000;363,23;371,54;;
12/09/2000;371,54;372,98;;
13/09/2000;372,98;369,99;;
14/09/2000;370;370,92;;
15/09/2000;370,91;366,97;;
18/09/2000;370,91;357,98;;
19/09/2000;357,52;365,72;;
20/09/2000;0;365,72;;
21/09/2000;365,65;360,88;;
22/09/2000;359,74;371,31;;
25/09/2000;371,27;372,7;;
26/09/2000;372,69;373,6;;
27/09/2000;373,5;376,75;;
28/09/2000;376,73;384,72;;
