Data;Abertura;Fechamento;;
14/02/2000;304,79;308,12;;
15/02/2000;307,99;303,66;;
16/02/2000;303,52;289,45;;
17/02/2000;289,49;275,72;;
18/02/2000;275,72;271,66;;
21/02/2000;0;271,66;;
22/02/2000;271,71;273,18;;
23/02/2000;273,19;272,37;;
24/02/2000;273,19;262,43;;
25/02/2000;272,36;263,96;;
28/02/2000;263,95;273,13;;
29/02/2000;273,13;282,82;;
01/03/2000;0;282,82;;
02/03/2000;0;282,82;;
03/03/2000;0;282,82;;
06/03/2000;0;282,82;;
07/03/2000;275,98;264,67;;
08/03/2000;264,68;270,55;;
09/03/2000;270,55;278,96;;
10/03/2000;278,97;273,58;;
13/03/2000;0;273,58;;
14/03/2000;270,79;270,13;;
15/03/2000;270,12;288,69;;
16/03/2000;288,74;312,98;;
17/03/2000;312,92;312,7;;
20/03/2000;312,7;310,61;;
21/03/2000;310,73;317,09;;
22/03/2000;317,09;313,9;;
23/03/2000;313,75;312,45;;
24/03/2000;312,48;315,78;;
27/03/2000;315,78;313,77;;
28/03/2000;313,74;313,04;;
29/03/2000;313,74;325,64;;
30/03/2000;325,63;329,35;;
31/03/2000;329,35;322,23;;
03/04/2000;322,25;337,34;;
04/04/2000;337,33;328,86;;
05/04/2000;328,61;325,61;;
06/04/2000;325,78;331,09;;
07/04/2000;331,2;334,04;;
10/04/2000;334,04;338,3;;
11/04/2000;338,3;339,94;;
12/04/2000;339,93;337,72;;
13/04/2000;337,72;323,56;;
14/04/2000;323,47;300,36;;
17/04/2000;300,14;297,45;;
18/04/2000;300,14;305,52;;
19/04/2000;305,54;306,94;;
20/04/2000;306,93;312,77;;
21/04/2000;0;312,77;;
24/04/2000;312,77;317,38;;
25/04/2000;317,46;321,47;;
26/04/2000;321,58;320,47;;
27/04/2000;320,13;313,27;;
28/04/2000;313,42;304,45;;
01/05/2000;304,45;315,2;;
02/05/2000;315,09;313,42;;
03/05/2000;313,42;295,65;;
04/05/2000;295,63;289,35;;
05/05/2000;289,35;293,23;;
08/05/2000;293,23;294,55;;
09/05/2000;294,56;295,4;;
10/05/2000;295,18;302,14;;
11/05/2000;302,14;304,29;;
12/05/2000;304,29;305,28;;
15/05/2000;305,34;311,22;;
16/05/2000;311,22;311,36;;
17/05/2000;311,31;304,16;;
18/05/2000;304,2;306;;
19/05/2000;306;302,31;;
22/05/2000;302,36;299,95;;
23/05/2000;299,95;296,86;;
24/05/2000;296,82;288,75;;
25/05/2000;288,77;288,02;;
26/05/2000;287,81;280,96;;
29/05/2000;0;280,96;;
30/05/2000;280,92;282,79;;
31/05/2000;0;282,79;;
01/06/2000;293,74;296,9;;
02/06/2000;296,94;308,05;;
05/06/2000;308,05;303,99;;
06/06/2000;304,23;293,11;;
07/06/2000;293,08;293,34;;
08/06/2000;293,35;290,27;;
09/06/2000;290,27;281,89;;
12/06/2000;281,89;274,75;;
13/06/2000;274,78;283,43;;
14/06/2000;283,46;286,81;;
15/06/2000;286,8;289,21;;
16/06/2000;289,33;283,68;;
19/06/2000;283,68;283,43;;
20/06/2000;283,43;281,21;;
21/06/2000;281,12;278,73;;
22/06/2000;278,73;273,98;;
